"","tissue","ENSG00000104814"
"775","Esophagus",3.102
"776","Stomach",3.156
"777","Small Intestine",103.9
"778","Pancreas",1.059
"779","Colon",1.1
"780","Lung",4.514
"781","Brain",1.549
"782","Skin",1.981
"783","Breast",2.807
"784","Thyroid",4.463
"785","Lung",14.11
"786","Esophagus",1.425
"787","Colon",1.888
"788","Prostate",9.372
"789","Brain",2.675
"790","Skin",1.566
"791","Lung",9.174
"792","Thyroid",5.077
"793","Esophagus",0.2731
"794","Colon",8.175
"795","Brain",2.195
"796","Skin",1.391
"797","Thyroid",6.261
"798","Liver",2.308
"799","Lung",9.24
"800","Pancreas",0.5265
"801","Esophagus",1.949
"802","Brain",1.613
"803","Thyroid",4.489
"804","Skin",3.581
"805","Pancreas",0.2796
"806","Thyroid",3.016
"807","Liver",1.169
"808","Prostate",3.835
"809","Breast",1.833
"810","Esophagus",1.686
"811","Stomach",2.091
"812","Colon",6.581
"813","Small Intestine",10.68
"814","Lung",12.27
"815","Esophagus",1.431
"816","Stomach",2.179
"817","Ovary",1.566
"818","Uterus",2.585
"819","Breast",0.9697
"820","Pancreas",0.3274
"821","Skin",2.334
"822","Brain",2.15
"823","Lung",11.77
"824","Skin",4.053
"825","Thyroid",7.477
"826","Breast",5.09
"827","Brain",1.179
"828","Lung",21.7
"829","Liver",1.378
"830","Brain",1.154
"831","Skin",2.274
"832","Thyroid",32.41
"833","Prostate",4.327
"834","Brain",1.249
"835","Lung",12.3
"836","Esophagus",1.758
"837","Thyroid",3.815
"838","Skin",2.27
"839","Colon",1.502
"840","Prostate",5.976
"841","Brain",0.8019
"842","Skin",1.81
"843","Thyroid",4.378
"844","Brain",1.119
"845","Lung",16.81
"846","Skin",1.266
"847","Brain",1.335
"848","Skin",1.662
"849","Thyroid",2.154
"850","Lung",13.58
"851","Esophagus",2.179
"852","Pancreas",1.529
"853","Lung",20.9
"854","Ovary",2.859
"855","Liver",2.047
"856","Thyroid",4.021
"857","Uterus",2.402
"858","Breast",5.281
"859","Skin",4.843
"860","Brain",1.82
"861","Skin",4.183
"862","Breast",2.507
"863","Lung",5.744
"864","Thyroid",1.605
"865","Esophagus",1.126
"866","Stomach",1.152
"867","Brain",1.722
"868","Skin",2.75
"869","Thyroid",6.607
"870","Lung",7.67
"871","Liver",2.311
"872","Prostate",9.469
"873","Colon",1.856
"874","Brain",1.481
"875","Skin",1.647
"876","Lung",5.58
"877","Thyroid",7.475
"878","Esophagus",2.048
"879","Liver",1.668
"880","Kidney",0.8044
"881","Small Intestine",1.738
"882","Skin",3.192
"883","Thyroid",4.399
"884","Brain",1.881
"885","Brain",1.309
"886","Skin",1.949
"887","Prostate",6.891
"888","Lung",11.24
"889","Brain",0.2746
"890","Breast",1.476
"891","Thyroid",7.863
"892","Lung",6.156
"893","Skin",0.9875
"894","Lung",20.02
"895","Breast",2.732
"896","Thyroid",55.12
"897","Liver",1.746
"898","Skin",2.233
"899","Brain",0.6784
"900","Skin",6.297
"901","Thyroid",2.374
"902","Lung",7.211
"903","Liver",1.168
"904","Esophagus",2.019
"905","Breast",3.072
"906","Skin",2.5
"907","Brain",0.4129
"908","Skin",2.522
"909","Thyroid",3.739
"910","Esophagus",3.852
"911","Pancreas",0.4157
"912","Liver",1.173
"913","Colon",0.7398
"914","Kidney",1.194
"915","Esophagus",1.726
"916","Stomach",1.104
"917","Small Intestine",15.63
"918","Prostate",1.86
"919","Skin",1.927
"920","Thyroid",3.543
"921","Colon",1.678
"922","Lung",6.914
"923","Brain",1.542
"924","Skin",4.54
"925","Lung",7.994
"926","Breast",2.163
"927","Thyroid",3.868
"928","Liver",0.8052
"929","Colon",19.33
"930","Ovary",1.561
"931","Skin",1.758
"932","Thyroid",2.768
"933","Breast",3.396
"934","Lung",9.221
"935","Esophagus",1.018
"936","Colon",2.812
"937","Brain",1.66
"938","Skin",3.882
"939","Lung",10.6
"940","Thyroid",4.578
"941","Esophagus",1.747
"942","Stomach",0.8773
"943","Breast",2.249
"944","Thyroid",2.138
"945","Lung",7.606
"946","Esophagus",4.553
"947","Stomach",1.458
"948","Small Intestine",120.9
"949","Skin",2.451
"950","Colon",1.114
"951","Prostate",9.146
"952","Breast",2.115
"953","Pancreas",0.5719
"954","Thyroid",4.493
"955","Lung",6.363
"956","Esophagus",4.732
"957","Colon",2.868
"958","Skin",9.057
"959","Brain",2.731
"960","Skin",2.261
"961","Lung",7.308
"962","Esophagus",1.389
"963","Pancreas",0.4894
"964","Ovary",1.429
"965","Thyroid",2.815
"966","Uterus",3.471
"967","Kidney",24.72
"968","Skin",3.51
"969","Small Intestine",1.6
"970","Colon",1.772
"971","Stomach",3.076
"972","Esophagus",1.038
"973","Brain",1.682
"974","Skin",6.223
"975","Thyroid",2.656
"976","Lung",7.43
"977","Esophagus",13.95
"978","Colon",14.93
"979","Uterus",1.04
"980","Ovary",1.589
"981","Thyroid",2.197
"982","Colon",5.342
"983","Stomach",2.836
"984","Esophagus",3.548
"985","Skin",4.247
"986","Brain",1.567
"987","Skin",1.936
"988","Lung",26.65
"989","Kidney",1.792
"990","Esophagus",1.712
"991","Brain",2.625
"992","Skin",2.477
"993","Thyroid",2.527
"994","Lung",11.78
"995","Breast",2.053
"996","Colon",4.247
"997","Brain",1.835
"998","Skin",1.522
"999","Thyroid",3.343
"1000","Lung",6.531
"1001","Esophagus",2.204
"1002","Kidney",0.646
"1003","Colon",14.98
"1004","Stomach",2.209
"1005","Liver",1.955
"1006","Brain",1.193
"1007","Skin",5.907
"1008","Thyroid",4.485
"1009","Lung",7.329
"1010","Esophagus",2.974
"1011","Brain",0.8936
"1012","Thyroid",2.979
"1013","Breast",2.068
"1014","Prostate",8.009
"1015","Skin",8.571
"1016","Lung",14.26
"1017","Esophagus",3.224
"1018","Colon",2.251
"1019","Brain",0.4289
"1020","Skin",2.06
"1021","Thyroid",4.408
"1022","Brain",0.8567
"1023","Thyroid",4.136
"1024","Skin",1.143
"1025","Breast",4.776
"1026","Esophagus",1.658
"1027","Lung",7.415
"1028","Uterus",2.4
"1029","Pancreas",1.987
"1030","Ovary",1.962
"1031","Colon",1.141
"1032","Small Intestine",7.314
"1033","Brain",0.9878
"1034","Brain",1.662
"1035","Skin",4.217
"1036","Thyroid",3.836
"1037","Lung",12.87
"1038","Breast",1.553
"1039","Liver",1.456
"1040","Esophagus",0.8103
"1041","Stomach",10.45
"1042","Colon",1.129
"1043","Liver",1.312
"1044","Skin",4.534
"1045","Thyroid",19.23
"1046","Pancreas",0.7091
"1047","Ovary",4.441
"1048","Colon",7.44
"1049","Esophagus",1.422
"1050","Stomach",2.623
"1051","Breast",3.701
"1052","Thyroid",1.505
"1053","Lung",4.966
"1054","Esophagus",2.155
"1055","Stomach",1.752
"1056","Skin",7.124
"1057","Ovary",1.408
"1058","Uterus",2.189
"1059","Colon",1.439
"1060","Small Intestine",57.8
"1061","Brain",1.498
"1062","Ovary",2.207
"1063","Esophagus",1.142
"1064","Breast",4.055
"1065","Skin",2.57
"1066","Breast",3.691
"1067","Thyroid",4.314
"1068","Lung",12.14
"1069","Esophagus",2.001
"1070","Colon",13.81
"1071","Stomach",1.01
"1072","Brain",0.5808
"1073","Skin",1.505
"1074","Lung",27.11
"1075","Liver",0.7946
"1076","Thyroid",27.84
"1077","Brain",1.855
"1078","Skin",0.5506
"1079","Thyroid",2.455
"1080","Lung",16.35
"1081","Esophagus",0.1537
"1082","Colon",0.9617
"1083","Prostate",2.894
"1084","Kidney",2.922
"1085","Stomach",15.46
"1086","Thyroid",2.441
"1087","Esophagus",1.518
"1088","Small Intestine",14.92
"1089","Skin",2.116
"1090","Brain",0.5236
"1091","Skin",8.513
"1092","Brain",0.9092
"1093","Skin",1.6
"1094","Uterus",1.388
"1095","Stomach",11.11
"1096","Lung",9.361
"1097","Lung",8.198
"1098","Esophagus",0.7833
"1099","Thyroid",2.534
"1100","Breast",1.232
"1101","Colon",3.095
"1102","Brain",1.233
"1103","Skin",2.085
"1104","Lung",13.01
"1105","Breast",0.9755
"1106","Colon",2.156
"1107","Brain",1.929
"1108","Skin",4.05
"1109","Liver",5.659
"1110","Pancreas",0.3371
"1111","Esophagus",0.9211
"1112","Breast",3.547
"1113","Ovary",1.079
"1114","Skin",3.415
"1115","Thyroid",8.652
"1116","Esophagus",4.67
"1117","Lung",18.77
"1118","Pancreas",0.8636
"1119","Uterus",2.397
"1120","Ovary",2.842
"1121","Colon",1.952
"1122","Stomach",16.68
"1123","Skin",4.133
"1124","Thyroid",1.86
"1125","Pancreas",0.7051
"1126","Lung",8.574
"1127","Ovary",4.111
"1128","Uterus",5.338
"1129","Esophagus",1.273
"1130","Colon",2.239
"1131","Brain",2.689
"1132","Skin",2.902
"1133","Thyroid",2.655
"1134","Liver",0.869
"1135","Esophagus",3.813
"1136","Lung",10.9
"1137","Breast",2.387
"1138","Lung",7.97
"1139","Skin",1.889
"1140","Pancreas",0.2842
"1141","Breast",3.781
"1142","Uterus",3.724
"1143","Ovary",1.104
"1144","Esophagus",4.265
"1145","Small Intestine",12.55
"1146","Colon",1.421
"1147","Skin",3.156
"1148","Breast",1.243
"1149","Thyroid",5.205
"1150","Esophagus",0.5496
"1151","Thyroid",2.617
"1152","Pancreas",0.8722
"1153","Skin",2.505
"1154","Ovary",1.167
